Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Ind
20-February-2014,1158,1170,1146.6,1156.75,1157.0710301434,126031,5560,145826819,11666,9.26,23.4,-1.25,951
19-February-2014,1164.5,1177,1158.4,1164.7,1167.145627259,119799,5310,139822879,9354,7.81,18.6,0.2,952
18-February-2014,1112.25,1171.7,1108.35,1164.6,1149.1989012517,280501,14372,322351441,53232,18.98,63.35,52.35,953
17-February-2014,1111,1119.95,1105.2,1115.35,1112.9147794314,78819,4961,87718830,10238,12.99,14.75,4.35,954
14-February-2014,1106.5,1111,1083.4,1102.7,1098.2820216158,141748,7064,155679280,23848,16.82,27.6,-3.8,955
13-February-2014,1125,1125,1095.05,1101.2,1111.9482280617,82960,4774,92247225,15082,18.18,29.95,-23.8,956
12-February-2014,1133.15,1133.65,1114.6,1119.2,1124.4625452023,95128,4679,106967873,14107,14.83,19.05,-13.95,957
11-February-2014,1128.65,1131,1118.25,1122.6,1124.9335338796,73466,3803,82644367,7249,9.87,12.75,-6.05,958
10-February-2014,1134.7,1138.7,1115.85,1120.1,1126.3726529468,82071,4458,92442530,12253,14.93,22.85,-14.6,959
7-February-2014,1123,1129,1111.1,1125.75,1120.009719423,145379,6631,162825893,36075,24.81,17.9,2.75,960
6-February-2014,1127.9,1135.55,1098.9,1102.85,1111.7289370703,189100,8974,210227942,48100,25.44,36.65,-25.05,961
5-February-2014,1127.8,1130.05,1112,1121.2,1121.3093836414,148631,8291,166661335,24055,16.18,18.05,-6.6,962
4-February-2014,1113,1127.85,1101.1,1123.25,1116.9958682097,159253,8552,177884943,9189,5.77,26.75,10.25,963
3-February-2014,1117,1133.4,1110.75,1123.05,1124.6043876969,113955,6583,128154293,18010,15.8,22.65,6.05,964
31-January-2014,1118.9,1125.65,1109,1119.55,1117.4264203563,263191,12530,294096577,106743,40.56,16.65,0.65,965
30-January-2014,1116,1127.15,1105.8,1109.95,1115.6027525982,141539,7917,157901298,28421,20.08,21.35,-6.05,966
29-January-2014,1129.7,1149.3,1122.1,1139.65,1136.8122000251,183557,11885,208669837,16477,8.98,27.2,9.95,967
28-January-2014,1163,1179.2,1115.95,1121.95,1142.2236814194,263996,12656,301542483,47020,17.81,63.25,-41.05,968
27-January-2014,1181,1183.65,1155,1159.95,1168.4699750592,172007,8470,200985015,46609,27.1,28.65,-21.05,969
24-January-2014,1206,1228.5,1196,1206.95,1210.7752838547,235684,11120,285360362,35064,14.88,32.5,0.95,970
23-January-2014,1187,1219.8,1181.75,1216.3,1204.4219070941,298926,18392,360033023,96523,32.29,38.05,29.3,971
22-January-2014,1189,1202,1172.9,1186.85,1188.8621238086,267849,12379,318435531,78348,29.25,29.1,-2.15,972
21-January-2014,1168,1192.35,1159,1189.1,1174.2331486084,569315,12362,668508545,366310,64.34,33.35,21.1,973
20-January-2014,1148,1167,1133,1161.55,1151.0567973929,270030,12628,310819867,61808,22.89,34,13.55,974
17-January-2014,1182,1187.65,1145,1152.8,1157.7424735223,827678,14301,958237975,601314,72.65,42.65,-29.2,975
16-January-2014,1187.9,1197.95,1168.15,1176.95,1182.248985548,518753,20525,613295208,93332,17.99,29.8,-10.95,976
15-January-2014,1182.35,1190,1165.8,1178.15,1175.9830016464,346210,17774,407137075,106106,30.65,24.2,-4.2,977
14-January-2014,1185,1193,1169.25,1175.7,1184.1020412699,314951,10868,372934122,205938,65.39,23.75,-9.3,978
13-January-2014,1176,1194,1165,1183.45,1176.9627568649,192465,8649,226524137,50823,26.41,29,7.45,979
10-January-2014,1191,1196.95,1160.1,1164.55,1170.7029679943,503067,18464,588942030,239157,47.54,36.85,-26.45,980
9-January-2014,1209.7,1210.25,1176.2,1184.95,1183.7124458339,977548,21201,1157135734,740191,75.72,34.05,-24.75,981
8-January-2014,1248,1248,1208,1212.8,1218.1901398113,510903,15977,622376997,300319,58.78,40,-35.2,982
7-January-2014,1260,1266,1215,1234.3,1231.1402981412,505331,21694,622133358,241878,47.87,51,-25.7,983
