Date,Price,Open,High,Low,Vol.,Change %
"Dec 28, 2015",649.85,639,655.5,638.85,485.70K,1.63
"Dec 24, 2015",639.4,651,653,637.52,104.05K,-1.29
"Dec 23, 2015",647.75,656,664.83,645.02,211.04K,-1.72
"Dec 22, 2015",659.08,643.75,661,639,315.11K,2.39
"Dec 21, 2015",643.7,654,658.33,636.05,195.75K,-1.54
"Dec 18, 2015",653.77,650.98,660,640.05,652.63K,0.81
"Dec 17, 2015",648.52,665,669.9,637.55,511.14K,-1.82
"Dec 16, 2015",660.55,660.45,664.5,651.4,441.01K,0.56
"Dec 15, 2015",656.85,637.5,662,634.05,1.29M,3.62
"Dec 14, 2015",633.92,629.42,637.5,625.1,352.42K,0.51
"Dec 11, 2015",630.73,624.25,641,621.38,1.12M,1.57
"Dec 10, 2015",620.98,619.4,629.95,619.4,149.60K,0.2
"Dec 09, 2015",619.73,626.9,628.95,612,453.85K,-0.2
"Dec 08, 2015",620.98,611,637.5,611,704.57K,1.23
"Dec 07, 2015",613.45,605.5,617,605.5,644.06K,1.75
"Dec 04, 2015",602.88,608,611.5,600.62,257.08K,-1.32
"Dec 03, 2015",610.95,625.05,634.3,608.6,281.53K,-3
"Dec 02, 2015",629.83,632.95,633.5,619.05,230.42K,0.47
"Dec 01, 2015",626.9,620.5,633.25,619.25,555.88K,2.14
"Nov 30, 2015",613.77,645.77,648,608.1,1.09M,-4.4
"Nov 27, 2015",642,635,649.48,626.05,834.90K,1.69
"Nov 26, 2015",631.33,629.95,634.98,624.25,452.09K,0.63
"Nov 24, 2015",627.4,615,629.75,613.2,199.03K,2.16
"Nov 23, 2015",614.12,614.5,622.02,608,214.83K,0.59
"Nov 20, 2015",610.52,619.95,619.95,607.05,325.67K,-0.93
"Nov 19, 2015",616.23,606.52,622.4,606.52,496.60K,1.81
"Nov 18, 2015",605.25,613.92,620,603,196.67K,-0.55
"Nov 17, 2015",608.58,605.95,614.1,603.5,177.01K,1.08
"Nov 16, 2015",602.05,627.9,629.95,600.02,371.16K,-4.12
"Nov 13, 2015",627.9,660.9,679.95,625,689.76K,-5.09
"Nov 11, 2015",661.55,664,670,657.5,19.81K,0.19
"Nov 10, 2015",660.27,674.5,678.75,651.65,177.16K,-2.3
"Nov 09, 2015",675.83,640.5,684,635,541.45K,3.74
"Nov 06, 2015",651.45,624.95,661.77,620.02,504.39K,4.43
"Nov 05, 2015",623.8,644.3,652.62,616,460.33K,-2.81
"Nov 04, 2015",641.83,648.98,648.98,632.1,479.39K,-0.18
"Nov 03, 2015",643,639.95,649,639.55,210.58K,0.9
"Nov 02, 2015",637.27,639.85,639.85,625,94.40K,0.99
"Oct 30, 2015",631,649.9,661,627.02,301.30K,-2.42
"Oct 29, 2015",646.62,647.7,650,630.77,377.26K,0.51
"Oct 28, 2015",643.35,649.9,651.73,626.33,474.49K,-0.45
"Oct 27, 2015",646.25,641,652.5,632.5,389.23K,0.49
"Oct 26, 2015",643.1,637.5,649,632.5,1.38M,2.44
"Oct 23, 2015",627.8,623.5,629,621.83,236.18K,0.91
"Oct 21, 2015",622.12,618,625.02,612.5,149.12K,0.64
"Oct 20, 2015",618.15,609.95,622.15,603.2,288.88K,2.23
