Date,Price,Open,High,Low,Vol.,Change %
"Feb 10, 2017",432,427,435.4,423.75,1.55M,1.17
"Feb 09, 2017",427,422.4,429.5,418.65,1.90M,0.33
"Feb 08, 2017",425.6,410,431.55,406.35,12.27M,8.17
"Feb 07, 2017",393.45,393.95,397,386.65,2.25M,0.61
"Feb 06, 2017",391.05,385,397,383.15,1.77M,2.98
"Feb 03, 2017",379.75,389,389,377.5,719.06K,-2.45
"Feb 02, 2017",389.3,370.95,394.4,369,1.86M,5.23
"Feb 01, 2017",369.95,363.75,372.25,359,931.35K,2.18
"Jan 31, 2017",362.05,370.9,370.9,359.35,788.68K,-2.53
"Jan 30, 2017",371.45,370,374,368.1,361.87K,-0.36
"Jan 27, 2017",372.8,372,375.65,366.55,386.49K,0.17
"Jan 25, 2017",372.15,366,378.45,361.75,2.92M,2.14
"Jan 24, 2017",364.35,369.5,369.9,361.8,883.27K,0.11
"Jan 23, 2017",363.95,356.9,364.95,356.9,768.68K,0.9
"Jan 20, 2017",360.7,371,371,358.25,829.79K,-3.22
"Jan 19, 2017",372.7,365.1,374.9,365.1,1.09M,1.55
"Jan 18, 2017",367,360.3,370.65,359.05,865.08K,1.96
"Jan 17, 2017",359.95,362.85,364.5,358.3,1.39M,-0.8
"Jan 16, 2017",362.85,358.4,364.6,357.05,577.65K,1.26
"Jan 13, 2017",358.35,363.35,366.45,355,701.47K,-1.47
"Jan 12, 2017",363.7,360.95,365.8,359.5,1.14M,0.82
"Jan 11, 2017",360.75,363.5,365.45,359.1,1.06M,-0.19
"Jan 10, 2017",361.45,355.25,363.45,354,680.20K,1.93
"Jan 09, 2017",354.6,355.95,357.35,351.6,388.06K,-0.17
"Jan 06, 2017",355.2,359,363,352.6,1.09M,-0.8
"Jan 05, 2017",358.05,360.5,361.5,355.45,1.19M,-0.44
"Jan 04, 2017",359.65,350.4,361.95,349.2,2.37M,3.3
"Jan 03, 2017",348.15,341,354.6,339.15,2.77M,4.25
"Jan 02, 2017",333.95,328.95,336.3,325.5,656.08K,2.19
"Dec 30, 2016",326.8,322.6,328,321.7,498.20K,1.82
"Dec 29, 2016",320.95,314.95,323.4,312.35,1.46M,2.13
"Dec 28, 2016",314.25,312.8,317.95,312.8,949.47K,-0.66
"Dec 27, 2016",316.35,311,317,308.1,722.42K,2.76
"Dec 26, 2016",307.85,313,314.4,307.1,672.70K,-2.05
"Dec 23, 2016",314.3,310.9,315.5,308.5,966.58K,1.45
"Dec 22, 2016",309.8,318.7,322.9,308.4,2.33M,-3.1
"Dec 21, 2016",319.7,319.7,327.9,313,1.49M,0.55
"Dec 20, 2016",317.95,318,322.45,316.1,572.86K,0.35
"Dec 19, 2016",316.85,320.7,321.5,316.1,563.22K,-1.51
"Dec 16, 2016",321.7,316,322.8,315.2,1.23M,2.01
"Dec 15, 2016",315.35,320.7,323.8,314.1,1.01M,-2.11
"Dec 14, 2016",322.15,318.9,325.2,318.3,1.10M,0.66
"Dec 13, 2016",320.05,322,327.9,318.4,894.22K,-0.51
"Dec 12, 2016",321.7,325.3,330.85,317.2,819.99K,-1.49
"Dec 09, 2016",326.55,326.2,330.7,322.7,648.77K,-0.02
"Dec 08, 2016",326.6,325.55,335.5,324.35,1.68M,0.74
"Dec 07, 2016",324.2,324.85,327.9,321.65,903.19K,0.22
"Dec 06, 2016",323.5,325.8,327.25,321.05,1.16M,-0.72
"Dec 05, 2016",325.85,314.8,328.5,308,2.84M,4.04
"Dec 02, 2016",313.2,320,328.2,307.15,2.03M,-3.6
"Dec 01, 2016",324.9,323,333.4,317.25,2.65M,0.43
"Nov 30, 2016",323.5,314.45,328.55,311.45,3.27M,3.07
"Nov 29, 2016",313.85,306,316.25,305.25,1.45M,2.38
"Nov 28, 2016",306.55,316.95,318,303.75,1.68M,-3.04
"Nov 25, 2016",316.15,310.9,319.2,306.3,1.29M,2.8
"Nov 24, 2016",307.55,311,314.7,306,2.75M,-1.58
"Nov 23, 2016",312.5,309,314,306.25,1.25M,1.82
"Nov 22, 2016",306.9,306,311.7,300.65,1.95M,0.92
"Nov 21, 2016",304.1,304,306.3,296.15,3.32M,0.26
"Nov 18, 2016",303.3,319.3,319.5,299,5.30M,-3.99
"Nov 17, 2016",315.9,319.95,322,308.3,1.97M,-1.37
"Nov 16, 2016",320.3,333.5,338.1,313.15,1.72M,-2.76
"Nov 15, 2016",329.4,332,333.65,301.65,4.02M,-1.66
"Nov 11, 2016",334.95,342,343.2,323.85,2.17M,-4.12
"Nov 10, 2016",349.35,355.4,359.8,347.5,3.55M,0.16
"Nov 09, 2016",348.8,334.05,356.25,315.5,6.11M,-6.02
"Nov 08, 2016",371.15,372,374.6,364.8,725.84K,0.18
"Nov 07, 2016",370.5,372.6,383.5,368,1.70M,0.39
"Nov 04, 2016",369.05,377.2,378,360.05,5.18M,-2.16
"Nov 03, 2016",377.2,377.45,383.5,373.8,1.63M,-0.11
"Nov 02, 2016",377.6,371.5,384.3,369.15,2.46M,1.31
"Nov 01, 2016",372.7,379.5,381.1,370.55,2.55M,-2.2
"Oct 30, 2016",381.1,377.9,383.55,376,290.01K,2.02
"Oct 28, 2016",373.55,370.45,376.7,368.55,1.48M,1.18
"Oct 27, 2016",369.2,373,375.7,361.1,1.48M,-1.69
"Oct 26, 2016",375.55,372.1,380.45,367.35,1.87M,0.6
"Oct 25, 2016",373.3,375,375.5,367.5,1.61M,-1.13
"Oct 24, 2016",377.55,381.65,381.65,372.65,1.51M,-0.49
"Oct 21, 2016",379.4,390.1,392.9,377.15,997.85K,-2.62
"Oct 20, 2016",389.6,388.9,394,387.65,1.13M,0.31
"Oct 19, 2016",388.4,391.1,393.35,385.95,1.43M,-0.44
"Oct 18, 2016",390.1,389.9,390.9,385,864.70K,1.04
"Oct 17, 2016",386.1,385.25,389,380.3,1.65M,0.22
"Oct 14, 2016",385.25,392.4,392.4,380.15,3.11M,-0.76
"Oct 13, 2016",388.2,403.5,404.05,385.5,4.77M,-3.84
