Date,Price,Open,High,Low,Vol.,Change %
"Jan 18, 2016",125.7,127,131.5,124.45,12.72M,-0.36
"Jan 15, 2016",126.15,130.95,133,124.6,6.22M,-3.63
"Jan 14, 2016",130.9,129.8,131.85,126.25,7.25M,-0.91
"Jan 13, 2016",132.1,136.2,137.4,127.5,8.38M,-1.78
"Jan 12, 2016",134.5,138.55,140.4,133.7,5.90M,-3.31
"Jan 11, 2016",139.1,138,140.2,134.55,7.04M,-0.96
"Jan 08, 2016",140.45,140.95,143.45,139.35,3.86M,0.68
"Jan 07, 2016",139.5,147,147,138.8,7.98M,-6.19
"Jan 06, 2016",148.7,148,150.95,146.6,4.24M,0.41
"Jan 05, 2016",148.1,152.7,152.7,146.3,7.75M,-2.05
"Jan 04, 2016",151.2,158.1,158.8,150.5,5.47M,-4.94
"Jan 01, 2016",159.05,157.2,159.9,156,2.47M,1.53
"Dec 31, 2015",156.65,156.1,159,154,8.90M,0.35
"Dec 30, 2015",156.1,158.9,159.4,155.3,3.59M,-1.11
"Dec 29, 2015",157.85,159.4,159.5,157.1,2.54M,-0.69
"Dec 28, 2015",158.95,159.25,159.95,158.4,1.56M,0.41
"Dec 24, 2015",158.3,158.6,159.75,157.4,1.73M,-0.16
"Dec 23, 2015",158.55,158.6,159,157.5,2.81M,0.92
"Dec 22, 2015",157.1,159.55,161.4,156.55,2.87M,-1.47
"Dec 21, 2015",159.45,159.25,160.4,157.5,3.89M,0.28
"Dec 18, 2015",159,159.75,162.8,158.3,4.85M,-0.59
"Dec 17, 2015",159.95,161,163.4,158.6,5.29M,0.09
"Dec 16, 2015",159.8,159.9,161.8,157.25,6.87M,0.92
"Dec 15, 2015",158.35,157,159.2,155,4.85M,0.99
"Dec 14, 2015",156.8,154,158.7,153.3,4.52M,1
"Dec 11, 2015",155.25,160.3,161.3,150.45,9.22M,-2.57
"Dec 10, 2015",159.35,161.3,162,156.3,4.60M,-0.56
"Dec 09, 2015",160.25,161.05,163.8,159.5,4.11M,-0.9
"Dec 08, 2015",161.7,165.1,167.25,160.85,3.68M,-2.41
"Dec 07, 2015",165.7,168.15,170,165.05,4.47M,-0.72
"Dec 04, 2015",166.9,170,170,165.55,5.68M,-2.54
"Dec 03, 2015",171.25,170.8,173.2,170.8,3.71M,-1.47
"Dec 02, 2015",173.8,177.55,179.05,173.3,2.81M,-2.11
"Dec 01, 2015",177.55,179.9,180.8,176.3,3.18M,-1.31
"Nov 30, 2015",179.9,179.4,182.5,178.7,6.18M,0.17
"Nov 27, 2015",179.6,171.7,180.25,170.7,8.02M,5.62
"Nov 26, 2015",170.05,169.4,172,167.2,4.06M,1.1
"Nov 24, 2015",168.2,169,171.15,167.85,2.58M,-0.68
"Nov 23, 2015",169.35,172.1,172.75,168.4,2.84M,-1.48
"Nov 20, 2015",171.9,168,173.2,166,6.66M,2.26
"Nov 19, 2015",168.1,170.05,170.05,166.7,3.11M,-0.15
"Nov 18, 2015",168.35,172.75,173.2,167.6,3.80M,-2.83
"Nov 17, 2015",173.25,177,177.4,172.65,5.85M,-1.81
"Nov 16, 2015",176.45,173.9,177.2,173.4,3.96M,1.29
"Nov 13, 2015",174.2,172,175.35,169.5,4.23M,0.26
"Nov 11, 2015",173.75,174.9,175,173.25,602.83K,0.46
"Nov 10, 2015",172.95,169.4,173.9,167.85,9.64M,0.87
"Nov 09, 2015",171.45,162.55,172.5,161.7,13.76M,2.63
"Nov 06, 2015",167.05,158.5,169.2,140.1,41.22M,4.8
"Nov 05, 2015",159.4,163,163.4,158.5,3.58M,-2.48
"Nov 04, 2015",163.45,164,165.4,162.25,2.92M,0.93
"Nov 03, 2015",161.95,163.2,164.3,161.25,2.58M,0.06
"Nov 02, 2015",161.85,161,162.75,156.6,4.09M,1.03
"Oct 30, 2015",160.2,162.1,164.8,159.55,3.33M,-1.39
"Oct 29, 2015",162.45,164.2,165.7,161.8,6.73M,-0.98
"Oct 28, 2015",164.05,166.8,167,161.5,8.36M,-2.55
"Oct 27, 2015",168.35,172.2,172.85,167.95,4.66M,-2.15
"Oct 26, 2015",172.05,173.7,174.9,171.05,2.66M,-0.61
"Oct 23, 2015",173.1,176.1,176.7,172.5,4.43M,-0.94
"Oct 21, 2015",174.75,176.45,177.4,171.6,4.78M,-0.85
"Oct 20, 2015",176.25,176,178.6,175.1,4.98M,0.4
"Oct 19, 2015",175.55,177.5,178.85,174.4,3.96M,-1.21
"Oct 16, 2015",177.7,179.7,179.8,175.1,6.02M,-1.22
"Oct 15, 2015",179.9,174.9,180.4,174.2,7.94M,3.69
"Oct 14, 2015",173.5,174,176.5,173,5.06M,-1.42
"Oct 13, 2015",176,175.1,178.4,174.2,6.47M,-0.45
"Oct 12, 2015",176.8,172.5,179.65,169.3,17.64M,-2.91
"Oct 09, 2015",182.1,187.6,188.7,181.3,5.32M,-2.04
"Oct 08, 2015",185.9,186.5,191,184.2,7.13M,-0.24
"Oct 07, 2015",186.35,184.2,187,183.55,4.49M,1.08
"Oct 06, 2015",184.35,187,187,182.2,6.40M,-1.1
"Oct 05, 2015",186.4,183,187.2,182.5,5.75M,2.93
"Oct 01, 2015",181.1,185.25,185.7,180.5,5.23M,-1.15
"Sep 30, 2015",183.2,188.9,189.4,181.55,7.04M,-2.16
"Sep 29, 2015",187.25,181,189,178.85,14.29M,2.02
"Sep 28, 2015",183.55,187.9,188.75,183,5.20M,-1.53
"Sep 24, 2015",186.4,188,190.3,185.3,8.76M,-0.98
"Sep 23, 2015",188.25,183.1,190.25,182.45,6.39M,0.75
"Sep 22, 2015",186.85,193.55,196.25,185.1,11.01M,-2.73
"Sep 21, 2015",192.1,186.5,192.8,186.2,6.86M,0.95
"Sep 18, 2015",190.3,185,192.25,184,13.90M,4.25
"Sep 16, 2015",182.55,184,184.35,179.9,6.25M,0.38
"Sep 15, 2015",181.85,185,187.25,180.75,5.70M,-2.52
"Sep 14, 2015",186.55,182,187.2,181,5.64M,2.9
"Sep 11, 2015",181.3,181.25,185,179.2,9.75M,1.31
"Sep 10, 2015",178.95,175.6,180.9,173.05,7.77M,-0.91
"Sep 09, 2015",180.6,182,182.4,176.8,8.90M,1.63
"Sep 08, 2015",177.7,171.95,180.7,169.45,8.65M,4.65
"Sep 07, 2015",169.8,175.8,180,168.7,7.45M,-2.55
"Sep 04, 2015",174.25,174.95,175.45,164.85,10.42M,-0.77
"Sep 03, 2015",175.6,172.6,178.5,169.5,7.01M,3.6
"Sep 02, 2015",169.5,175.95,175.95,166.55,11.32M,-1.74
"Sep 01, 2015",172.5,181.25,183.15,170.65,8.53M,-6.63
"Aug 31, 2015",184.75,184.2,189.8,183,7.87M,-0.24
"Aug 28, 2015",185.2,191,192.45,181,8.28M,-1.38
"Aug 27, 2015",187.8,182.1,188.6,179.55,19.43M,5.98
"Aug 26, 2015",177.2,182.35,182.5,175.85,11.71M,-2.98
"Aug 25, 2015",182.65,189,189,172.45,14.50M,0.03
"Aug 24, 2015",182.6,185,193.2,175.4,15.31M,-8.54
"Aug 21, 2015",199.65,189,201.4,187.9,13.85M,-0.72
"Aug 20, 2015",201.1,205,210.4,194.65,15.57M,-3.66
"Aug 19, 2015",208.75,211,211.4,205.35,10.79M,-1.95
"Aug 18, 2015",212.9,213.4,216.3,208.55,17.26M,0.05
"Aug 17, 2015",212.8,196,215.9,196,45.19M,15.4
"Aug 14, 2015",184.4,178.6,186.15,175.75,14.08M,4.33
"Aug 13, 2015",176.75,177.8,183,175.5,6.25M,0.4
"Aug 12, 2015",176.05,177,182.6,175.35,5.01M,-1.12
"Aug 11, 2015",178.05,182.9,184.7,175.65,6.72M,-2.22
"Aug 10, 2015",182.1,184,186.7,180.5,5.18M,-1.57
"Aug 07, 2015",185,188,188.7,183.65,6.32M,-2.32
"Aug 06, 2015",189.4,187.35,191.25,185.15,9.26M,0.21
"Aug 05, 2015",189,191,192.35,186.15,12.79M,-1.07
"Aug 04, 2015",191.05,185,192.85,181.7,18.67M,3.35
"Aug 03, 2015",184.85,178.9,190,178.05,13.02M,4.14
"Jul 31, 2015",177.5,169,179.4,166,17.53M,5.28
"Jul 30, 2015",168.6,154.1,170,153.45,32.69M,10.05
"Jul 29, 2015",153.2,154.25,154.75,151.25,2.71M,-0.42
"Jul 28, 2015",153.85,152.65,156.95,150.8,7.72M,1.02
"Jul 27, 2015",152.3,154.4,155.15,151.6,4.41M,-2.22
"Jul 24, 2015",155.75,154,157.8,153.5,5.48M,1.96
"Jul 23, 2015",152.75,153,154.35,151.85,1.95M,0.03
"Jul 22, 2015",152.7,149.2,153.4,148,2.33M,1.33
"Jul 21, 2015",150.7,152.15,153.85,150.3,1.94M,-1.47
"Jul 20, 2015",152.95,156,157.35,151.5,1.95M,-2.11
"Jul 17, 2015",156.25,156,157.35,155.3,1.88M,0.45
"Jul 16, 2015",155.55,157.5,157.5,154.5,3.67M,-0.54
"Jul 15, 2015",156.4,155.55,157.5,153.3,3.13M,0.39
"Jul 14, 2015",155.8,156.35,158.1,155.1,2.33M,-0.35
"Jul 13, 2015",156.35,157.55,157.9,155.15,2.30M,-0.06
"Jul 10, 2015",156.45,154.75,156.9,153.9,4.03M,2.29
"Jul 09, 2015",152.95,152.05,155,151.05,3.72M,1.06
"Jul 08, 2015",151.35,151.9,153.5,148.6,3.62M,-1.5
