Date,Price,Open,High,Low,Vol.,Change %
"Feb 17, 2017",50102.2,50780,50900,50001.05,10.38K,-0.86
"Feb 16, 2017",50538.05,50180,50858,49600,16.21K,1.08
"Feb 15, 2017",49997.15,50200.05,50582,49935.6,8.01K,-0.39
"Feb 14, 2017",50195.2,51020,51630.55,50010,5.87K,-1.24
"Feb 13, 2017",50827.25,51551.15,51680.3,50660.05,5.75K,-1.25
"Feb 10, 2017",51472.35,51850,51879.3,51310,4.38K,-0.41
"Feb 09, 2017",51685.7,51750,51985,51250,7.39K,0.16
"Feb 08, 2017",51604.45,50666,51799.95,50350,13.39K,2.32
"Feb 07, 2017",50434.75,50690,51040,49759.65,21.90K,0.39
"Feb 06, 2017",50240.05,51684.8,51684.8,50097.3,17.66K,-1.6
"Feb 03, 2017",51059.45,51681.8,52654.15,50050.15,39.22K,-1.03
"Feb 02, 2017",51590.9,52600,52740,51351,10.66K,-1.89
"Feb 01, 2017",52585.1,51401,52840,51401,11.73K,1.79
"Jan 31, 2017",51659.5,51998,52140,51000,12.64K,-0.52
"Jan 30, 2017",51929.9,53440,53440,51801.15,12.04K,-2.64
"Jan 27, 2017",53339.2,53080,53633,53080,6.48K,0.51
"Jan 25, 2017",53066.7,52699,53180,52000,8.56K,1.14
"Jan 24, 2017",52466.4,52679.35,52879.95,52210.05,7.49K,0.22
"Jan 23, 2017",52351.7,51668,52840,51668,23.69K,1.32
"Jan 20, 2017",51668.9,51890,52549.95,51400,9.80K,-0.62
"Jan 19, 2017",51992.2,53000,53046.05,51814.5,13.61K,-1.91
"Jan 18, 2017",53006.9,53800,54100,52802,9.95K,-1.25
"Jan 17, 2017",53678.8,53050,54380.6,53050,15.20K,1.11
"Jan 16, 2017",53092.05,53299,53857.55,52559.85,13.56K,-0.5
"Jan 13, 2017",53359.6,55098.85,55298.95,52890,22.09K,-3
"Jan 12, 2017",55011.6,55530.1,55945,54625.05,18.12K,-0.7
"Jan 11, 2017",55400,53699,55554.45,53400.05,35.02K,4.48
"Jan 10, 2017",53025.05,51649.9,53666,49808.7,14.46K,3.26
"Jan 09, 2017",51349.15,51579.2,51797,50825.7,5.35K,-0.45
"Jan 06, 2017",51579.2,52000,52686.5,51125,14.67K,-0.25
